"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.9"
"2","0.000489","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"3","0.000823","VMware_55:61:f7","Broadcast","ARP","42","","ARP Announcement for 192.168.10.9"
"4","0.001326","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","Gratuitous ARP for 192.168.10.9 (Reply)"
"5","0.001594","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.7"
"6","0.001901","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"7","0.002204","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.3"
"8","0.002503","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"9","0.002758","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.4? Tell 192.168.10.9"
"10","0.003161","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.4 is at 00:11:22:33:44:cc"
"11","0.003441","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.4"
"12","0.003736","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"13","0.004006","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.3? Tell 192.168.10.5"
"14","0.004349","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.3 is at 00:11:22:33:44:bb"
"15","0.004616","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.4"
"16","0.004944","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"17","0.005325","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.5"
"18","0.005616","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"19","0.005891","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.7? Tell 192.168.10.6"
