"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.3? Tell 192.168.10.2"
"2","0.000497","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.3 is at 00:11:22:33:44:bb"
"3","0.000826","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.8"
"4","0.001146","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"5","0.001420","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.2"
"6","0.001720","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"7","0.002007","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.7? Tell 192.168.10.5"
"8","0.002333","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.7 is at 00:11:22:33:44:ff"
"9","0.002585","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.2"
"10","0.002972","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"11","0.003374","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.2? Tell 192.168.10.3"
"12","0.003679","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.2 is at 00:11:22:33:44:aa"
"13","0.003929","VMware_55:61:f7","Broadcast","ARP","42","","ARP Announcement for 192.168.10.10"
"14","0.004258","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","Gratuitous ARP for 192.168.10.10 (Reply)"
"15","0.004545","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.3? Tell 192.168.10.2"
"16","0.004866","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.3 is at 00:11:22:33:44:bb"
"17","0.005115","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.9"
"18","0.005421","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"19","0.005693","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.4"
"20","0.006005","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"21","0.006329","192.168.10.2","192.168.10.3","SMTP","422","","C: DATA fragment, 368 bytes"
"22","0.023108","192.168.10.9","192.168.10.10","TCP","54","","21655  >  30774 [SYN] Seq=0 Win=898 Len=0"
"23","0.023891","192.168.10.9","192.168.10.10","TCP","128","","55848  >  9037 [<None>] Seq=1 Win=948 Len=74"
"24","0.024488","192.168.10.10","192.168.10.9","TCP","54","","7644  >  46904 [<None>] Seq=1 Win=720 Len=0"
"25","0.025171","192.168.10.9","192.168.10.10","TCP","128","","54712  >  36088 [<None>] Seq=1 Win=843 Len=74"
"26","0.025719","192.168.10.10","192.168.10.9","TCP","54","","28191  >  58261 [<None>] Seq=1 Win=811 Len=0"
"27","0.027284","192.168.10.9","192.168.10.10","TCP","128","","36218  >  26860 [<None>] Seq=1 Win=708 Len=74"
