"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.8"
"2","0.000595","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"3","0.000921","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.2"
"4","0.001224","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"5","0.001480","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.2? Tell 192.168.10.5"
"6","0.001778","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.2 is at 00:11:22:33:44:aa"
"7","0.002078","VMware_55:61:f7","Broadcast","ARP","42","","ARP Announcement for 192.168.10.3"
"8","0.002373","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","Gratuitous ARP for 192.168.10.3 (Reply)"
"9","0.002618","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.5"
"10","0.002989","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"11","0.003270","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.10"
"12","0.003555","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"13","0.003797","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.4? Tell 192.168.10.3"
"14","0.004487","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.4 is at 00:11:22:33:44:cc"
"15","0.004751","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.10"
"16","0.005069","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"17","0.005316","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.6"
"18","0.005603","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"19","0.005869","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.2? Tell 192.168.10.8"
"20","0.006178","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.2 is at 00:11:22:33:44:aa"
"21","0.006488","192.168.10.7","192.168.10.8","SMTP","422","","C: DATA fragment, 368 bytes"
"22","0.022569","192.168.10.7","192.168.10.6","TCP","54","","26635  >  51577 [SYN] Seq=0 Win=557 Len=0"
"23","0.023171","192.168.10.7","192.168.10.6","TCP","148","","39330  >  61363 [<None>] Seq=1 Win=957 Len=94"
