"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.10"
"2","0.000451","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"3","0.000747","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.3"
"4","0.001068","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"5","0.001334","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.3? Tell 192.168.10.8"
"6","0.001621","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.3 is at 00:11:22:33:44:bb"
"7","0.001894","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.5"
"8","0.002187","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"9","0.002756","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.7? Tell 192.168.10.5"
"10","0.003307","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.7 is at 00:11:22:33:44:ff"
"11","0.003915","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.9"
"12","0.004220","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"13","0.004759","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.3"
"14","0.005061","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"15","0.005331","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.10"
"16","0.005661","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"17","0.005901","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.9"
"18","0.006173","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"19","0.006446","VMware_55:61:f7","Broadcast","ARP","42","","ARP Announcement for 192.168.10.7"
"20","0.006743","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","Gratuitous ARP for 192.168.10.7 (Reply)"
"21","0.016013","192.168.10.10","192.168.10.6","TCP","54","","43938  >  9614 [SYN] Seq=0 Win=736 Len=0"
"22","0.016778","192.168.10.10","192.168.10.6","TCP","67","","23040  >  23623 [<None>] Seq=1 Win=367 Len=13"
"23","0.017356","192.168.10.6","192.168.10.10","TCP","54","","45406  >  62982 [<None>] Seq=1 Win=484 Len=0"
