"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","ARP Announcement for 192.168.10.8"
"2","0.000590","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","Gratuitous ARP for 192.168.10.8 (Reply)"
"3","0.000921","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.8"
"4","0.001265","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"5","0.001535","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.7? Tell 192.168.10.9"
"6","0.002122","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.7 is at 00:11:22:33:44:ff"
"7","0.002429","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.3? Tell 192.168.10.4"
"8","0.002888","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.3 is at 00:11:22:33:44:bb"
"9","0.003282","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.5"
"10","0.003848","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"11","0.004132","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.10"
"12","0.004550","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"13","0.004803","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.3"
"14","0.005121","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"15","0.005409","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.8"
"16","0.005747","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"17","0.006000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.2"
"18","0.006298","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"19","0.006572","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.8"
"20","0.006914","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"21","0.016166","192.168.10.7","192.168.10.5","TCP","54","","26972  >  45137 [SYN] Seq=0 Win=217 Len=0"
"22","0.017212","192.168.10.7","192.168.10.5","TCP","73","","38349  >  34263 [<None>] Seq=1 Win=609 Len=19"
"23","0.017807","192.168.10.5","192.168.10.7","TCP","54","","52010  >  2430 [<None>] Seq=1 Win=508 Len=0"
"24","0.018527","192.168.10.7","192.168.10.5","TCP","73","","9805  >  22151 [<None>] Seq=1 Win=723 Len=19"
"25","0.019120","192.168.10.5","192.168.10.7","TCP","54","","55250  >  11543 [<None>] Seq=1 Win=393 Len=0"
"26","0.019741","192.168.10.7","192.168.10.5","TCP","73","","5586  >  50056 [<None>] Seq=1 Win=432 Len=19"
"27","0.020479","192.168.10.5","192.168.10.7","TCP","54","","9146  >  15405 [<None>] Seq=1 Win=712 Len=0"
"28","0.021109","192.168.10.7","192.168.10.5","TCP","54","","56457  >  54400 [FIN] Seq=1 Win=754 Len=0"
"29","0.021738","192.168.10.7","192.168.10.5","TCP","54","","35068  >  57294 [<None>] Seq=1 Win=100 Len=0"
"30","0.022295","192.168.10.9","192.168.10.7","TCP","54","","41054  >  33271 [SYN] Seq=0 Win=561 Len=0"
"31","0.022944","192.168.10.9","192.168.10.7","TCP","117","","29425  >  11746 [<None>] Seq=1 Win=533 Len=63"
